x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15;;;;;;;;;;;;;;Sampling;N CBs
43801.89642024495,5.251599171749563,0.004,0.096,0.002,0.098,0.485,0.609,0.996,0.0,0.0,0.016,0.124,186.804,493.02;;;;;;;;;;;;;;minut;100
132581.71231203992,0.0,0.011,0.096,0.001,0.106,0.276,0.506,0.987,0.0,0.0,0.034,0.211,183.645,669.688;;;;;;;;;;;;;;minut;200
240720.38984154302,3.596614910543009,0.015,0.083,0.003,0.093,0.414,0.43,0.994,0.004,0.0,0.015,0.257,171.822,837.282;;;;;;;;;;;;;;minut;300
281439.2090643459,0.0,0.014,0.096,0.002,0.105,0.308,0.38,0.988,0.0,0.0,0.024,0.282,160.82,1006.51;;;;;;;;;;;;;;minut;400
444593.9875871903,7.524585002085886,0.028,0.097,0.004,0.117,0.361,0.345,0.992,0.004,0.0,0.018,0.315,171.435,1188.527;;;;;;;;;;;;;;minut;500
48510.32560764566,5.793980619024788,0.01,0.098,0.005,0.103,0.587,0.611,0.998,0.004,0.0,0.001,0.141,202.291,2080.874;;;;;;;;;;;;;;Hourly;100
131916.10877638665,2.0091470161089733,0.012,0.095,0.003,0.104,0.383,0.497,0.994,0.004,0.0,0.017,0.216,181.17,2238.627;;;;;;;;;;;;;;Hourly;200
237087.77090842708,3.236406144392922,0.014,0.088,0.003,0.099,0.382,0.437,0.994,0.004,0.0,0.025,0.252,193.965,2421.887;;;;;;;;;;;;;;Hourly;300
284208.90240597696,4.743313049162115,0.014,0.078,0.003,0.088,0.405,0.359,0.994,0.004,0.0,0.03,0.267,185.89,2603.772;;;;;;;;;;;;;;Hourly;400
419359.55651257024,7.174549194006632,0.013,0.092,0.003,0.1,0.351,0.346,0.995,0.004,0.0,0.038,0.285,185.883,2798.337;;;;;;;;;;;;;;Hourly;500
